fileName,Label,S1@(ms),S2@(ms),systole,diastole,S1(ABV),syst_mur(0/1),smur_begin,syst_dur,syst_amp,syst_freq,S2(ABV),diast_mur(0/1),dmur_begin,diast_dur,diast_amp,diast_freq,syst_s1_amp_ratio,diast_s1_amp_ratio,syst_mur(0/1).v2,diast_mur(0/1).v2,sum_diff_syst,sum_diff_diast,Npeaks systole,Npeaks diastole,var_pks_systole,var_pks_diastole,L_pks_syst,M_pks_syst,H_pks_syst,L_pks_diast,M_pks_diast,H_pks_diast
healthy2_s31.wav,0,160,460,300,430,0.173752985,1,220,20,0.044018869,49.61645653,0.113382725,0,0,0,0,0,0.253341658,0,1,0,0.923919678,0.534179688,2482,4047,5.69722E-08,1.39498E-08,2478,0,4,4026,21,0
healthy2_s32.wav,0,240,500,260,430,0.224202427,0,0,0,0,0,0.18652871,0,0,0,0,0,0,0,0,0,0.302246094,0.504486084,2360,4088,9.46858E-09,9.2626E-09,2360,0,0,4076,12,0
healthy2_s33.wav,0,220,500,280,410,0.222703682,0,0,0,0,0,0.167589279,0,0,0,0,0,0,0,0,0,0.333984375,0.51373291,2384,4063,1.71E-08,1.2995E-08,2384,0,0,4054,9,0
healthy2_s34_JUST2.wav,0,240,510,270,440,0.231189346,0,0,0,0,0,0.220522695,0,0,0,0,0,0,0,0,0,0.351928711,0.992370605,2345,4120,2.62988E-08,1.33401E-08,2316,29,0,4101,14,5
healthy3_s01.wav,0,310,650,340,530,0.430461812,0,0,0,0,0,0.414301414,0,0,0,0,0,0,0,0,0,0.131896973,0.28237915,1069,1782,3.09706E-07,3.58125E-07,1069,0,0,1782,0,0
healthy3_s02.wav,0,280,610,330,530,0.367913733,0,0,0,0,0,0.472175686,0,0,0,0,0,0,0,0,0,0.138519287,0.317230225,1003,2019,4.28266E-07,3.28972E-07,1003,0,0,2017,2,0
healthy3_s03.wav,0,230,560,330,600,0.432592995,0,0,0,0,0,0.43423515,0,0,0,0,0,0,0,0,0,0.171447754,0.353820801,1061,2129,3.03961E-07,3.6512E-07,1061,0,0,2127,2,0
healthy3_s04.wav,0,260,600,340,530,0.409813962,0,0,0,0,0,0.458649244,0,0,0,0,0,0,0,0,0,0.160552979,0.34161377,1030,1827,3.83001E-07,3.66833E-07,1027,3,0,1825,2,0
healthy3_s05.wav,0,250,580,330,530,0.376737709,0,0,0,0,0,0.500488214,0,0,0,0,0,0,0,0,0,0.11340332,0.367431641,947,1923,3.34427E-07,3.62085E-07,947,0,0,1921,2,0
healthy3_s06.wav,0,220,530,310,550,0.376412356,0,0,0,0,0,0.457250869,0,0,0,0,0,0,0,0,0,0.113494873,0.388641357,980,1922,3.1089E-07,3.44591E-07,980,0,0,1919,3,0
healthy3_s07.wav,0,230,550,320,530,0.365621086,0,0,0,0,0,0.47211855,0,0,0,0,0,0,0,0,0,0.132263184,0.274688721,1090,1827,2.89237E-07,3.30848E-07,1090,0,0,1827,0,0
healthy3_s08.wav,0,320,630,310,550,0.360112634,0,0,0,0,0,0.462564085,0,0,0,0,0,0,0,0,0,0.121856689,0.40725708,1015,1784,3.20294E-07,3.80066E-07,1015,0,0,1782,2,0
healthy3_s09.wav,0,220,530,310,550,0.419681248,0,0,0,0,0,0.415453479,0,0,0,0,0,0,0,0,0,0.137115479,0.484832764,999,2023,3.96591E-07,3.46375E-07,999,0,0,2021,2,0
healthy3_s10.wav,0,210,540,330,610,0.399540895,0,0,0,0,0,0.360807395,0,0,0,0,0,0,0,0,0,0.164337158,0.349517822,1061,2127,3.04424E-07,3.49301E-07,1061,0,0,2125,2,0
healthy3_s11.wav,0,250,580,330,530,0.388296411,0,0,0,0,0,0.470535376,0,0,0,0,0,0,0,0,0,0.149291992,0.314239502,1034,1827,3.81548E-07,3.66833E-07,1031,3,0,1825,2,0
healthy3_s12.wav,0,240,570,330,530,0.439110005,0,0,0,0,0,0.416906787,0,0,0,0,0,0,0,0,0,0.176269531,0.349456787,956,1935,3.633E-07,3.60177E-07,956,0,0,1932,3,0
healthy3_s13.wav,0,240,580,340,530,0.391149048,0,0,0,0,0,0.480460569,0,0,0,0,0,0,0,0,0,0.166656494,0.355743408,985,1925,3.84811E-07,3.44096E-07,985,0,0,1922,3,0
healthy3_s14.wav,0,250,580,330,530,0.392850206,0,0,0,0,0,0.496295328,0,0,0,0,0,0,0,0,0,0.125762939,0.365325928,1090,1832,2.89208E-07,3.70944E-07,1090,0,0,1830,2,0
healthy3_s15.wav,0,230,540,310,550,0.380641454,0,0,0,0,0,0.434090865,0,0,0,0,0,0,0,0,0,0.120239258,0.384857178,1029,1784,2.88481E-07,3.80066E-07,1029,0,0,1782,2,0
