fileName,Label,S1@(ms),S2@(ms),systole,diastole,S1(ABV),syst_mur(0/1),smur_begin,syst_dur,syst_amp,syst_freq,S2(ABV),diast_mur(0/1),dmur_begin,diast_dur,diast_amp,diast_freq
holoSyst_s03.wav,1,340,680,340,590,0.223381012,0,0,0,0,0,0.217437882,0,0,0,0,0
holoSyst_s04.wav,1,350,690,340,570,0.223364195,0,0,0,0,0,0.221728221,0,0,0,0,0
holoSyst_s05.wav,1,250,590,340,590,0.252640297,0,0,0,0,0,0.241387676,0,0,0,0,0
holoSyst_s06.wav,1,210,570,360,580,0.226041291,0,0,0,0,0,0.216577552,0,0,0,0,0
holoSyst_s07.wav,1,320,660,340,600,0.249128526,0,0,0,0,0,0.228647782,0,0,0,0,0
holoSyst_s08.wav,1,290,650,360,590,0.235674959,0,0,0,0,0,0.221276524,0,0,0,0,0
holoSyst_s09.wav,1,340,680,340,590,0.250911192,0,0,0,0,0,0.230510162,0,0,0,0,0
holoSyst_s10.wav,1,280,640,360,600,0.233693549,0,0,0,0,0,0.232435792,0,0,0,0,0
holoSyst_s11.wav,1,270,610,340,590,0.236488783,0,0,0,0,0,0.235401505,0,0,0,0,0
holoSyst_s12.wav,1,280,620,340,600,0.202510876,0,0,0,0,0,0.211517669,0,0,0,0,0
holoSyst_s13.wav,1,320,660,340,600,0.250743124,0,0,0,0,0,0.24981548,0,0,0,0,0
holoSyst_s14.wav,1,280,620,340,570,0.248206797,0,0,0,0,0,0.261832663,0,0,0,0,0
holoSyst_s15.wav,1,280,620,340,600,0.228716291,0,0,0,0,0,0.220124579,0,0,0,0,0
holoSyst_s16.wav,1,260,620,360,580,0.239694993,0,0,0,0,0,0.221982089,0,0,0,0,0
holoSyst_s17.wav,1,340,680,340,600,0.24482457,0,0,0,0,0,0.227433224,0,0,0,0,0
holoSyst_s18.wav,1,270,630,360,600,0.231189291,0,0,0,0,0,0.210507099,0,0,0,0,0
holoSyst_s19.wav,1,320,660,340,590,0.236768899,0,0,0,0,0,0.218378423,0,0,0,0,0
holoSyst_s20.wav,1,280,640,360,590,0.219347116,0,0,0,0,0,0.220799134,0,0,0,0,0
holoSyst_s21.wav,1,280,620,340,600,0.239096948,0,0,0,0,0,0.255801939,0,0,0,0,0
lateSyst_s01.wav,1,340,680,340,610,0.300865929,0,0,0,0,0,0.229079303,0,0,0,0,0
lateSyst_s02.wav,1,310,660,350,590,0.253619317,0,0,0,0,0,0.232179233,0,0,0,0,0
lateSyst_s03.wav,1,240,580,340,610,0.254146668,0,0,0,0,0,0.229953881,0,0,0,0,0
lateSyst_s04.wav,1,280,630,350,650,0.295191787,0,0,0,0,0,0.194461702,0,0,0,0,0
lateSyst_s05.wav,1,260,600,340,600,0.275871804,0,0,0,0,0,0.22950496,0,0,0,0,0
lateSyst_s06.wav,1,280,640,360,590,0.274549981,0,0,0,0,0,0.253509055,0,0,0,0,0
lateSyst_s07.wav,1,290,630,340,600,0.240609113,0,0,0,0,0,0.237400927,0,0,0,0,0
lateSyst_s08.wav,1,250,590,340,600,0.241093174,0,0,0,0,0,0.270886446,0,0,0,0,0
lateSyst_s09.wav,1,290,650,360,610,0.250933697,0,0,0,0,0,0.258470112,0,0,0,0,0
lateSyst_s10.wav,1,260,610,350,600,0.25780021,0,0,0,0,0,0.226660704,0,0,0,0,0
lateSyst_s11.wav,1,310,660,350,600,0.29042836,0,0,0,0,0,0.216049074,0,0,0,0,0
lateSyst_s12.wav,1,330,680,350,610,0.235158099,0,0,0,0,0,0.249636563,0,0,0,0,0
